id,lat,lng,planningArea,tap_in,tap_out,deficit,avg_flow,pop_multiplier,pop_estimate
93111,1.31451280258696,103.92278173877762,BEDOK,7087,4509,2578,5798,0.00023612009480152574,31
83231,1.31726812920156,103.92214229972099,BEDOK,13564,14135,-571,13849,0.0005639922719741859,75
03331,1.27663307202767,103.86076808024792,MARINA SOUTH,379,495,-116,437,0.022310716291417777,0
03341,1.27959780011944,103.8643376844082,MARINA SOUTH,728,1481,-753,1104,0.05636391484147649,0
03371,1.28066479303461,103.86626955523418,MARINA SOUTH,1966,5882,-3916,3924,0.2003369581865523,0
03369,1.27960772061959,103.8698744774074,MARINA SOUTH,9218,12135,-2917,10676,0.5450553938836984,0
03361,1.279917,103.868895,MARINA SOUTH,4554,971,3583,2762,0.14101189564507072,0
03349,1.27965600609923,103.8647780795552,MARINA SOUTH,1248,120,1128,684,0.03492112115178435,0
03419,1.27127698470973,103.86297693157816,STRAITS VIEW,9092,11013,-1921,10052,0.3626131813426644,0
03421,1.26694090294712,103.85964778134667,STRAITS VIEW,15264,10217,5047,12740,0.45957938025323763,0
03411,1.27159299884076,103.86300900488229,STRAITS VIEW,780,8657,-7877,4718,0.17019588037949568,0
03339,1.27498516412784,103.85950016250487,STRAITS VIEW,193,229,-36,211,0.007611558024602287,0
93159,1.3077547570517,103.93132371442206,BEDOK,760,1758,-998,1259,5.1272024724926e-05,6
93169,1.30594307438981,103.92711976208209,BEDOK,190,190,0,190,7.737636773420126e-06,1
93179,1.30480179616528,103.92345623316808,BEDOK,398,364,34,381,1.5515997950910886e-05,2
93189,1.30365171489985,103.91955288064976,BEDOK,548,178,370,363,1.4782958677639504e-05,1
92199,1.302895,103.91685,MARINE PARADE,484,184,300,334,8.49779362675655e-05,2
92289,1.30179664907354,103.91282770401249,MARINE PARADE,1760,646,1114,1203,0.00030607322553856674,7
91111,1.29535544538917,103.89246238709205,MARINE PARADE,30,112,-82,71,1.8064172080829792e-05,0
91101,1.29607137626294,103.89668750894906,MARINE PARADE,52,196,-144,124,3.15486949017309e-05,0
92261,1.29798119441776,103.90051820688359,MARINE PARADE,296,312,-16,304,7.73451875010177e-05,1
92251,1.30003666698438,103.90625361097798,MARINE PARADE,250,222,28,236,6.0044290296842686e-05,1
92191,1.30244833118536,103.91471180502236,MARINE PARADE,750,522,228,636,0.00016181427385081334,3
93181,1.30333972198999,103.91793277803113,MARINE PARADE,626,198,428,412,0.00010482308306058977,2
93171,1.30510333301496,103.9241758329893,BEDOK,458,158,300,308,1.254311645375473e-05,1
93161,1.30651832392551,103.92790223080911,BEDOK,236,128,108,182,7.411841540855068e-06,0
93151,1.30788664966156,103.9337756712752,BEDOK,2010,796,1214,1403,5.713633891109704e-05,7
77081,1.38026998386867,103.94265250854711,PASIR RIS,1156,5119,-3963,3137,0.0002957986502265354,21
77091,1.38042637835149,103.94547139015036,PASIR RIS,285,8939,-8654,4612,0.00043488153485648107,31
77101,1.380642,103.948183,PASIR RIS,2013,6882,-4869,4447,0.00041932311047414815,30
77111,1.38219835929252,103.94638094436415,PASIR RIS,1424,6985,-5561,4204,0.00039640979456562154,28
77129,1.38396304779096,103.94374627572016,PASIR RIS,15665,14578,1087,15121,0.0014258117277894298,103
77119,1.38222775917912,103.94657905489993,PASIR RIS,6328,250,6078,3289,0.00031013125935450267,22
77109,1.3805263866174,103.94826215873827,PASIR RIS,5511,164,5347,2837,0.000267510605895021,19
77099,1.38042138903141,103.94637916697367,PASIR RIS,3992,235,3757,2113,0.00019924212557496628,14
77089,1.38005668836989,103.9426864870342,PASIR RIS,1688,736,952,1212,0.0001142836990993181,8
77079,1.37728664750339,103.94145255170352,PASIR RIS,32346,13578,18768,22962,0.002165166913134111,157
77189,1.3755564005294,103.94124910119332,PASIR RIS,11621,14889,-3268,13255,0.0012498600920474105,90
31061,1.37594722202959,103.695570278013,WESTERN WATER CATCHMENT,266,4265,-3999,2265,0.0015920197986815405,0
31071,1.37853314214565,103.69626045229732,WESTERN WATER CATCHMENT,15,576,-561,295,0.00020734915700267305,0
31079,1.37768611102662,103.69632194402648,WESTERN WATER CATCHMENT,859,34,825,446,0.0003134838102481091,0
31069,1.37493138896603,103.69550611102841,WESTERN WATER CATCHMENT,6567,618,5949,3592,0.0025247395659444122,0
42211,1.33974260070464,103.76559520495253,BUKIT TIMAH,16659,14779,1880,15719,0.002606591846751834,202
42221,1.33957381292395,103.7679072102881,BUKIT TIMAH,21670,16299,5371,18984,0.0031480081187567157,245
42229,1.33943222197209,103.76827388898352,BUKIT TIMAH,18105,25048,-6943,21576,0.0035778246507740677,278
42219,1.3395991670039,103.76535388898161,BUKIT TIMAH,10681,22858,-12177,16769,0.0027807073400459,216
53009,1.35045541249544,103.84988083722291,BISHAN,1310608,735173,575435,1022890,0.13422048222745456,11720
53261,1.35285975794309,103.85179055539538,BISHAN,23811,19715,4096,21763,0.002855673977374003,249
53299,1.35174011670427,103.83794546128104,BISHAN,13546,24656,-11110,19101,0.0025063745183026617,218
53129,1.34968057726521,103.83978033272378,BISHAN,23245,62509,-39264,42877,0.005626188169271935,491
53319,1.34722500001495,103.8412483330228,BISHAN,9461,13877,-4416,11669,0.0015311703185212167,133
